2147714	Sydney	-33.86785	151.20732	4627345	Sydney	NSW	Australië
2783188	Zonhoven	50.99064	5.36819	19922	Zoneve		Belsj
2783864	Wellen	50.84096	5.33867	6804	Wille		Belsj
2783870	Welkenraedt	50.6605	5.97034	9006	Wellekete	Wallonia+Walloon	Belsj
2783941	Wavre	50.71717	4.60138	32112	Waver	Wallonia+Walloon	Belsj
2784066	Waremme	50.6976	5.25524	13737	Wèrm	Wallonia+Walloon	Belsj
2784821	Verviers	50.58907	5.86241	52824	Verviers	Wallonia+Walloon	Belsj
2785389	Tongeren	50.78054	5.46484	29816	Tóngere		Belsj
2785593	Theux	50.53323	5.81245	11587	Theux	Wallonia+Walloon	Belsj
2785612	Tessenderlo	51.06513	5.08856	16574	Loei		Belsj
2786545	Sint-Truiden	50.81679	5.18647	37859	Sintruin		Belsj
2786824	Seraing	50.58362	5.50115	60737	Seraing	Wallonia+Walloon	Belsj
2788849	Plombières	50.73656	5.95922	9596	Blieberig+Plombières	Wallonia+Walloon	Belsj
2789403	Overpelt	51.21038	5.41557	13344	Pelt		Belsj
2790357	Neerpelt	51.22807	5.4427	16122	Neerpelt		Belsj
2790471	Namur	50.4669	4.86746	106284	Name	Wallonia+Walloon	Belsj
2790869	Mons	50.45413	3.95229	91277	Berge	Wallonia+Walloon	Belsj
2791537	Mechelen	51.02574	4.47762	77530	Mechele		Belsj
2791961	Maasmechelen	50.96545	5.69452	36251	Mechele		Belsj
2791964	Maaseik	51.09802	5.78379	23684	Mezeik		Belsj
2792179	Lommel	51.23074	5.31349	31993	Lommel		Belsj
2792332	Lincent	50.71222	5.03654	2884	Liessem	Wallonia+Walloon	Belsj
2792348	Limbourg	50.61222	5.9412	5612	Laeboer+Limbourg	Wallonia+Walloon	Belsj
2792413	Liège	50.63373	5.56749	182597	Luuk	Wallonia+Walloon	Belsj
2792482	Leuven	50.87959	4.70093	92892	Leuve		Belsj
2792856	Leopoldsburg	51.11667	5.25	14149	Leopoldsburg		Belsj
2793508	La Louvière	50.48657	4.18785	76668	La Louvière	Wallonia+Walloon	Belsj
2794445	Kinrooi	51.14543	5.74207	11946	Kinjer		Belsj
2795113	Huy	50.51894	5.23284	19973	Hoei	Wallonia+Walloon	Belsj
2795648	Hoeselt	50.84714	5.48767	9265	Hoeiselt		Belsj
2795912	Herve	50.64083	5.79353	16544	Herf	Wallonia+Walloon	Belsj
2795985	Herk-de-Stad	50.94013	5.16636	11566	Herk		Belsj
2796297	Heers	50.75383	5.3021	6689	Hiër		Belsj
2796491	Hasselt	50.93106	5.33781	69222	Hasselt		Belsj
2796715	Halen	50.94837	5.11096	8548	Hôle		Belsj
2797523	Gingelom	50.74792	5.13422	7930	Gingelom		Belsj
2797656	Gent	51.05	3.71667	231493	Gent		Belsj
2797670	Genk	50.965	5.50082	63666	Genk		Belsj
2797713	Gembloux	50.56149	4.69889	21676	Gembloers	Wallonia+Walloon	Belsj
2798573	Eupen	50.6279	6.03647	18029	Eupe	Wallonia+Walloon	Belsj
2799645	Dendermonde	51.02869	4.10106	43055	Dendermonde		Belsj
2799997	Crisnée	50.71703	5.39802	2587	Gerstekaove	Wallonia+Walloon	Belsj
2800481	Charleroi	50.41136	4.44448	200132	Charleroi	Wallonia+Walloon	Belsj
2800866	Brussels	50.85045	4.34878	1019022	Brussel	Brussels-Capital Region	Belsj
2800931	Brugge	51.20892	3.22424	116709	Brögge		Belsj
2801093	Bree	51.14152	5.5969	14363	Bree		Belsj
2801467	Borgloon	50.80505	5.34366	9955	Loeën		Belsj
2801754	Bocholt	51.17337	5.57994	12346	Bóggetj		Belsj
2801924	Bilzen	50.87325	5.5184	29622	Bilze		Belsj
2802170	Beringen	51.04954	5.22606	40930	Berringe		Belsj
2802583	Bastogne	50.00347	5.71844	14395	Bastenake	Wallonia+Walloon	Belsj
2802816	Baarle-Hertog	51.40504	4.89226	2305	Baarle-Hertog		Belsj
2802985	Aubel	50.70189	5.85812	4119	Aobel	Wallonia+Walloon	Belsj
2803073	Arlon	49.68333	5.81667	26179	Aarle	Wallonia+Walloon	Belsj
2803138	Antwerpen	51.21989	4.40346	459805	Antwerpe		Belsj
2803242	Amblève	50.35357	6.17002	5221	Amel	Wallonia+Walloon	Belsj
2803246	Amay	50.54829	5.30974	13307	Amay	Wallonia+Walloon	Belsj
2803285	Alken	50.87553	5.30558	10933	Alleke		Belsj
3451190	Rio de Janeiro	-22.90642	-43.18223	6023699	Rio de Janeiro	RJ	Braziel
2657896	Zürich	47.36667	8.55	341730	Zeurich	ZH	
146384	Limassol	34.68406	33.03794	154000	Lemesos		
146617	Famagusta	35.12054	33.93894	42526	Mağusa		
3067696	Prague	50.08804	14.42076	1165581	Praag+Praha	Hlavní město Praha	Tsjechië+Czechia
2805385	Xanten	51.65877	6.45297	21587	Sante	NRW	Duutsjlandj
2805644	Würselen	50.81809	6.1347	37074	Wösjele	NRW	Duutsjlandj
2809889	Wetzlar	50.56109	8.50495	52656	Wetzlar	Hessen	Duutsjlandj
2813390	Wegberg	51.14221	6.28436	29622	Berk	NRW	Duutsjlandj
2813786	Wassenberg	51.10009	6.15484	16641	Wasseberg	NRW	Duutsjlandj
2815035	Waldfeucht	51.0661	5.98815	9305	Vuch	NRW	Duutsjlandj
2815651	Wachtendonk	51.40916	6.33894	7823	Wachtedónk	NRW	Duutsjlandj
2817311	Viersen	51.25435	6.39441	76153	Veeëse	NRW	Duutsjlandj
2817506	Vettweiß	50.73333	6.6	9116	Fettweĳß	NRW	Duutsjlandj
2817724	Velbert	51.33537	7.04348	87669	Vèlbed	NRW	Duutsjlandj
2826304	Straelen	51.4419	6.26639	15325	Straele	NRW	Duutsjlandj
2826595	Stolberg	50.77368	6.22595	58874	Sjtolberg	NRW	Duutsjlandj
2831580	Solingen	51.17343	7.0845	164359	Solich	NRW	Duutsjlandj
2832023	Simmerath	50.6	6.3	15646	Zömmert	NRW	Duutsjlandj
2832521	Siegburg	50.80019	7.20769	39135	Sieburch	NRW	Duutsjlandj
2838744	Schleiden	50.52896	6.47692	14160	Sjleie	NRW	Duutsjlandj
2844277	Roetgen	50.65	6.2	8177	Ruutsje	NRW	Duutsjlandj
2844862	Rösrath	50.89559	7.18175	26868	Rösrod	NRW	Duutsjlandj
2851746	Pulheim	50.99965	6.80632	53762	Pullem	NRW	Duutsjlandj
2863223	Niederkassel	50.81503	7.03777	36480	Neddekaassel	NRW	Duutsjlandj
2864118	Neuss	51.19807	6.68504	152457	Nuus	NRW	Duutsjlandj
2877142	Lindlar	51.01959	7.37758	22723	Lenkeln	NRW	Duutsjlandj
2877648	Limburg an der Lahn	50.3836	8.0503	33820	Limburg an der Lahn	Hessen	Duutsjlandj
2884509	Krefeld	51.33645	6.55381	237984	Krievel	NRW	Duutsjlandj
2885397	Korschenbroich	51.19139	6.51352	33406	Korsjebrooch	NRW	Duutsjlandj
2886242	Köln	50.93333	6.95	963395	Kölle	NRW	Duutsjlandj
2894375	Kaarst	51.22929	6.61883	42112	Kaasj	NRW	Duutsjlandj
2894553	Jülich	50.92149	6.36267	33911	Jöllesch	NRW	Duutsjlandj
2894637	Jüchen	51.1	6.5	22562	Juche	NRW	Duutsjlandj
2898111	Hückelhoven	51.0555	6.22658	39828	Hukkelhaove	NRW	Duutsjlandj
2904795	Hilden	51.16818	6.93093	56565	Hilde	NRW	Duutsjlandj
2905455	Herzogenrath	50.86874	6.09317	47381	Roa	NRW	Duutsjlandj
2907585	Heiligenhaus	51.32662	6.97106	27700	Hillijehoes	NRW	Duutsjlandj
2921528	Geldern	51.51908	6.32363	34013	Geldere	NRW	Duutsjlandj
2921837	Geilenkirchen	50.96745	6.11763	28334	Jellekerke	NRW	Duutsjlandj
2925259	Frechen	50.91485	6.8118	48733	Frechem	NRW	Duutsjlandj
2925533	Frankfurt am Main	50.11552	8.68417	650000	Frankfurt am Main	Hessen	Duutsjlandj
2928810	Essen	51.45657	7.01228	593085	Esse	NRW	Duutsjlandj
2929622	Erkelenz	51.07947	6.31531	44650	Erkelens	NRW	Duutsjlandj
2934246	Düsseldorf	51.22172	6.77616	573057	Dusseldörp	NRW	Duutsjlandj
2934691	Duisburg	51.43247	6.76516	504358	Duusbörg	NRW	Duutsjlandj
2935825	Dormagen	51.09683	6.83167	63582	Dormaje	NRW	Duutsjlandj
2950159	Berlin	52.52437	13.41053	3426354	Berlien	Berlien+Berlin	Duutsjlandj
2951648	Bedburg	50.99258	6.57128	24937	Bebber	NRW	Duutsjlandj
2953302	Baesweiler	50.90964	6.18874	27834	Baaswieler	NRW	Duutsjlandj
2958141	Alsdorf	50.87673	6.16399	46340	Elsdörp	NRW	Duutsjlandj
2958516	Alfter	50.73333	7.01667	21814	Alefte	NRW	Duutsjlandj
3247449	Aachen	50.77664	6.08342	265208	Aoke	NRW	Duutsjlandj
3109642	Santiago de Compostela	42.88052	-8.54569	95092	Santiago de Compostella	Galicia	Spanje+España
3117735	Madrid	40.4165	-3.70256	3255944	Madrid	Madrid	Spanje+España
2973783	Strasbourg	48.58392	7.74553	274845	Sjtraasburg+67000	ACAL	Frankriek+France
2973826	Steenbecque	50.67421	2.48442	1674	Steenbeke	http://en.wikipedia.org/wiki/Hauts-de-France	Frankriek+France
2988507	Paris	48.85341	2.3488	2138551	Paries+75001		Frankriek+France
2996944	Lyon	45.74846	4.84671	472317	Lyon		Frankriek+France
3029162	Calais	50.95194	1.85635	74433	Kales+62100	http://en.wikipedia.org/wiki/Hauts-de-France	Frankriek+France
2641673	Newcastle upon Tyne	54.97328	-1.61396	192382	Newcastle-upon-Tyne	Ingeland	Vereineg Keuninkriek+http://en.wikipedia.org/wiki/United_Kingdom
2643743	London	51.50853	-0.12574	7556900	Londe	Ingeland	Vereineg Keuninkriek+http://en.wikipedia.org/wiki/United_Kingdom
614622	Gagra	43.27858	40.27124	8266	Gagra		Georgië
255274	Piraeus	37.94745	23.63708	163688	Pireas		Griekeland+Griekanmua
3054643	Budapest	47.49801	19.03991	1741041	Boedapes		Hongarieë
281184	Jerusalem	31.76904	35.21633	801000	Jeruzalem		Israël
295530	Beersheba	31.25181	34.7913	186600	Beer Sjeva	HaDarom	Israël
1275339	Mumbai	19.07283	72.88261	12691836	Bombay	MH+Mahārāshtra	India
3164603	Venice	45.43713	12.33265	51298	Venies		Italië
3169070	Rome	41.89193	12.51133	2318895	Roeme	Lazio	Italië
3176959	Florence	43.77925	11.24626	349296	Florence		Italië
1850147	Tokyo	35.6895	139.69171	8336599	Tokio		Japan
2960316	Luxembourg	49.61167	6.13	76684	Luxembörg		Luxembörg
1821274	Macau	22.20056	113.54611	520400	Makau		
2743477	Zwolle	52.5125	6.09444	111805	Zwolle	ov+Overijssel	Nederland
2743493	Zwijndrecht	51.8175	4.63333	45696	Zwijndrecht	Zuud-Holland+zh+Zuid-Holland	Nederland
2743608	Zutphen	52.13833	6.20139	36188	Zutfen	GLD+gd+Gelderland	Nederland
2743856	Zoetermeer	52.0575	4.49306	115845	Zeutermaer+Zoetermeer	Zuud-Holland+zh+Zuid-Holland	Nederland
2743977	Zeist	52.09	5.23333	60949	Zeist	ut+Utrecht	Nederland
2744042	Zandvoort	52.37125	4.53306	16868	Zandvoort	nh+Nord-Holland+Noord-Holland	Nederland
